datetime,open,high,low,close,volume,quote_volume,trades
2025-09-23 16:00:00,219.27,219.66,217.85,218.3,25687.338,5611656.35579,21396
2025-09-23 16:15:00,218.3,219.41,218.0,219.31,16447.423,3600418.20103,18119
2025-09-23 16:30:00,219.31,219.39,218.18,218.52,37553.571,8212239.35172,28174
2025-09-23 16:45:00,218.53,221.71,218.51,220.43,93268.087,20575138.84441,41532
2025-09-23 17:00:00,220.42,220.61,218.3,218.36,42005.902,9206975.3766,35387
2025-09-23 17:15:00,218.37,218.68,217.78,217.78,23661.105,5162306.95506,24247
2025-09-23 17:30:00,217.79,218.13,216.16,216.38,50894.749,11043019.86294,40802
2025-09-23 17:45:00,216.38,217.37,215.91,216.73,36488.194,7901090.98112,34439
2025-09-23 18:00:00,216.74,217.21,215.81,216.77,75870.449,16417113.9308,39355
2025-09-23 18:15:00,216.77,217.11,216.03,216.58,46059.99,9976285.29584,27567
2025-09-23 18:30:00,216.57,217.14,216.17,216.26,20130.414,4361342.30227,21410
2025-09-23 18:45:00,216.27,216.4,215.12,215.76,43753.013,9439408.85706,26640
2025-09-23 19:00:00,215.75,216.73,215.74,216.59,26251.042,5678198.0412,22138
2025-09-23 19:15:00,216.59,217.16,216.07,216.22,26183.227,5673393.91412,18879
2025-09-23 19:30:00,216.22,216.29,214.91,215.11,43678.527,9412982.6969,23682
2025-09-23 19:45:00,215.11,215.36,214.35,214.52,59127.755,12698171.14664,31352
2025-09-23 20:00:00,214.51,215.2,214.11,214.49,40093.483,8603511.07264,25738
2025-09-23 20:15:00,214.49,214.59,212.96,213.49,57801.077,12352353.92584,25645
2025-09-23 20:30:00,213.49,214.75,213.25,214.64,36619.276,7842301.06525,27862
2025-09-23 20:45:00,214.64,215.32,214.0,215.27,27091.614,5813605.5065,18248
2025-09-23 21:00:00,215.27,215.27,214.48,214.73,20195.573,4338863.66173,12492
2025-09-23 21:15:00,214.74,215.67,214.47,215.59,21881.889,4704352.46733,15214
2025-09-23 21:30:00,215.58,216.68,215.47,216.46,26774.105,5783640.53094,14472
2025-09-23 21:45:00,216.46,216.47,215.77,215.84,10112.939,2185185.82718,10692
2025-09-23 22:00:00,215.83,216.45,215.25,216.1,35703.782,7719901.39545,15810
2025-09-23 22:15:00,216.1,216.36,214.76,214.93,15073.68,3247987.97406,12157
2025-09-23 22:30:00,214.93,215.72,214.9,215.42,11783.426,2538232.35558,11104
2025-09-23 22:45:00,215.43,215.52,214.96,215.29,11890.467,2559698.7975,9141
2025-09-23 23:00:00,215.29,215.96,215.01,215.51,21123.894,4551098.44788,12362
2025-09-23 23:15:00,215.5,215.71,213.67,213.91,19240.57,4128610.60937,16660
2025-09-23 23:30:00,213.91,215.09,213.82,214.73,14622.354,3136665.07088,16236
2025-09-23 23:45:00,214.72,214.77,213.22,213.3,24758.789,5294785.07946,16468
2025-09-24 00:00:00,213.29,214.17,213.29,214.12,26502.979,5664737.04911,24676
2025-09-24 00:15:00,214.12,215.61,214.05,215.21,26469.556,5691912.79803,21799
2025-09-24 00:30:00,215.21,215.23,213.73,213.88,20322.47,4354089.25829,18693
2025-09-24 00:45:00,213.87,214.49,213.34,213.45,20935.727,4475633.63122,19931
2025-09-24 01:00:00,213.45,214.7,212.82,214.69,33542.035,7171416.10197,26236
2025-09-24 01:15:00,214.7,215.72,214.54,215.63,19760.9,4250986.75414,19255
2025-09-24 01:30:00,215.63,216.28,215.15,215.85,20004.775,4316226.60872,17149
2025-09-24 01:45:00,215.85,216.42,215.74,216.2,22430.359,4848704.40424,15847
2025-09-24 02:00:00,216.21,216.45,214.03,214.14,25702.331,5541136.49969,19205
2025-09-24 02:15:00,214.14,214.64,213.54,214.64,38345.878,8206198.14548,26687
2025-09-24 02:30:00,214.64,214.93,214.02,214.46,31510.907,6757422.08228,19658
2025-09-24 02:45:00,214.47,214.61,213.27,214.29,144875.451,31006615.44401,75745
2025-09-24 03:00:00,214.28,214.68,212.9,213.55,159105.103,33962032.40343,34005
2025-09-24 03:15:00,213.55,213.67,207.41,208.58,344820.225,72655307.18098,100720
2025-09-24 03:30:00,208.58,210.11,208.22,208.8,159576.624,33387350.15018,89420
2025-09-24 03:45:00,208.8,209.13,208.25,208.51,102525.448,21395659.58687,38074
2025-09-24 04:00:00,208.5,208.56,204.81,206.97,398788.833,82421063.22584,128198
2025-09-24 04:15:00,206.97,207.97,205.62,207.82,217535.014,44934742.72514,91601
2025-09-24 04:30:00,207.82,209.19,207.82,208.9,112581.445,23499301.94427,52665
2025-09-24 04:45:00,208.9,209.07,207.75,208.04,80163.916,16681640.6674,32045
2025-09-24 05:00:00,208.04,208.87,207.82,208.06,70719.845,14721212.08812,28384
2025-09-24 05:15:00,208.06,209.04,207.94,208.8,54531.301,11372102.16745,20726
2025-09-24 05:30:00,208.8,209.88,208.36,209.76,46856.707,9799471.7022,20476
2025-09-24 05:45:00,209.77,210.55,209.35,209.74,50699.167,10644549.06858,21996
2025-09-24 06:00:00,209.73,209.87,209.01,209.5,60411.889,12654859.2344,19840
2025-09-24 06:15:00,209.5,209.82,208.62,209.17,73121.398,15289093.63799,27751
2025-09-24 06:30:00,209.17,209.96,209.05,209.96,28481.148,5967921.75237,15931
2025-09-24 06:45:00,209.96,211.43,209.95,210.96,103706.647,21862839.94116,29586
2025-09-24 07:00:00,210.97,211.0,209.97,210.17,53949.963,11352894.66754,21624
2025-09-24 07:15:00,210.17,210.98,209.53,209.77,55063.267,11580500.22533,29153
2025-09-24 07:30:00,209.76,210.9,209.6,210.62,28370.828,5961019.83997,18586
2025-09-24 07:45:00,210.62,211.02,210.29,210.63,30613.231,6449668.44571,14627
2025-09-24 08:00:00,210.63,211.15,210.46,211.04,19095.617,4026316.44145,14621
2025-09-24 08:15:00,211.04,211.2,210.02,210.08,28817.353,6064685.55799,18286
2025-09-24 08:30:00,210.07,210.7,210.07,210.61,23956.316,5042634.71462,14492
2025-09-24 08:45:00,210.6,210.9,210.32,210.88,26486.59,5579815.96476,16467
2025-09-24 09:00:00,210.89,210.89,210.05,210.13,19351.904,4071442.73341,12844
2025-09-24 09:15:00,210.14,210.48,209.83,210.38,27456.434,5771390.78113,14072
2025-09-24 09:30:00,210.39,211.18,210.38,210.68,30946.408,6523628.57779,18614
2025-09-24 09:45:00,210.67,211.02,210.47,210.98,19916.608,4198709.33342,13178
2025-09-24 10:00:00,210.98,211.47,210.73,210.93,34145.172,7206322.80466,17665
2025-09-24 10:15:00,210.92,211.35,210.21,210.23,26074.652,5496676.06848,14891
2025-09-24 10:30:00,210.22,210.79,210.12,210.35,18760.901,3949207.69724,15088
2025-09-24 10:45:00,210.34,211.0,210.24,210.9,16550.911,3486192.91057,11483
2025-09-24 11:00:00,210.9,212.5,210.73,212.16,33589.26,7106993.65379,21564
2025-09-24 11:15:00,212.16,212.6,211.9,212.05,35995.833,7641391.02612,23671
2025-09-24 11:30:00,212.04,212.53,211.6,212.17,32411.698,6876225.85982,20797
2025-09-24 11:45:00,212.16,212.6,211.85,212.35,30894.983,6556332.74103,17098
2025-09-24 12:00:00,212.36,213.4,212.32,212.79,48346.573,10287255.06676,25209
2025-09-24 12:15:00,212.8,212.97,212.14,212.22,18658.763,3964249.24189,15944
2025-09-24 12:30:00,212.22,212.87,212.21,212.57,16947.858,3602029.32011,12302
2025-09-24 12:45:00,212.56,212.73,211.79,211.95,18666.11,3960849.069,11896
